customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,EstimatedAnnualRevenue,TenureGroup,ChargeLevel,CustomerValue
0002-ORFBO,FEMALE,0,YES,YES,9,ONE YEAR,YES,MAILED CHECK,65.6,593.3,NO,YES,NO,DSL,NO,YES,NO,YES,YES,NO,787.2,NEW CUSTOMER,MEDIUM,STANDARD
0003-MKNFE,MALE,0,NO,NO,9,MONTH-TO-MONTH,NO,MAILED CHECK,59.9,542.4,NO,YES,YES,DSL,NO,NO,NO,NO,NO,YES,718.8,NEW CUSTOMER,MEDIUM,STANDARD
0004-TLHLJ,MALE,0,NO,NO,4,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,73.9,280.85,YES,YES,NO,FIBER OPTIC,NO,NO,YES,NO,NO,NO,886.8,NEW CUSTOMER,MEDIUM,STANDARD
0011-IGKFF,MALE,1,YES,NO,13,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,98,1237.85,YES,YES,NO,FIBER OPTIC,NO,YES,YES,NO,YES,YES,1176,DEVELOPING,HIGH,STANDARD
0013-EXCHZ,FEMALE,1,YES,NO,3,MONTH-TO-MONTH,YES,MAILED CHECK,83.9,267.4,YES,YES,NO,FIBER OPTIC,NO,NO,NO,YES,YES,NO,1006.8,NEW CUSTOMER,HIGH,STANDARD
0013-MHZWF,FEMALE,0,NO,YES,9,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),69.4,571.45,NO,YES,NO,DSL,NO,NO,NO,YES,YES,YES,832.8,NEW CUSTOMER,MEDIUM,STANDARD
0013-SMEOE,FEMALE,1,YES,NO,71,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),109.7,7904.25,NO,YES,NO,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1316.4,LOYAL,HIGH,HIGH VALUE
0014-BMAQU,MALE,0,YES,NO,63,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),84.65,5377.8,NO,YES,YES,FIBER OPTIC,YES,NO,NO,YES,NO,NO,1015.8,LOYAL,HIGH,HIGH VALUE
0015-UOCOJ,FEMALE,1,NO,NO,7,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,48.2,340.35,NO,YES,NO,DSL,YES,NO,NO,NO,NO,NO,578.4,NEW CUSTOMER,MEDIUM,STANDARD
0016-QLJIS,FEMALE,0,YES,YES,65,TWO YEAR,YES,MAILED CHECK,90.45,5957.9,NO,YES,YES,DSL,YES,YES,YES,YES,YES,YES,1085.4,LOYAL,HIGH,HIGH VALUE
0017-DINOC,MALE,0,NO,NO,54,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),45.2,2460.55,NO,NO,NO PHONE SERVICE,DSL,YES,NO,NO,YES,YES,NO,542.4,LOYAL,MEDIUM,STANDARD
0017-IUDMW,FEMALE,0,YES,YES,72,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),116.8,8456.75,NO,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1401.6,LOYAL,HIGH,HIGH VALUE
0018-NYROU,FEMALE,0,YES,NO,5,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,68.95,351.5,NO,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,827.4,NEW CUSTOMER,MEDIUM,STANDARD
0019-EFAEP,FEMALE,0,NO,NO,72,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),101.3,7261.25,NO,YES,YES,FIBER OPTIC,YES,YES,YES,NO,YES,NO,1215.6,LOYAL,HIGH,HIGH VALUE
0019-GFNTW,FEMALE,0,NO,NO,56,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),45.05,2560.1,NO,NO,NO PHONE SERVICE,DSL,YES,YES,YES,YES,NO,NO,540.6,LOYAL,MEDIUM,STANDARD
0020-INWCK,FEMALE,0,YES,YES,71,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),95.75,6849.4,NO,YES,YES,FIBER OPTIC,NO,YES,YES,NO,NO,YES,1149,LOYAL,HIGH,HIGH VALUE
0020-JDNXP,FEMALE,0,YES,YES,34,ONE YEAR,NO,MAILED CHECK,61.25,1993.2,NO,NO,NO PHONE SERVICE,DSL,YES,NO,YES,YES,YES,YES,735,ESTABLISHED,MEDIUM,STANDARD
0021-IKXGC,FEMALE,1,NO,NO,1,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,72.1,72.1,NO,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,865.2,NEW CUSTOMER,MEDIUM,STANDARD
0022-TCJCI,MALE,1,NO,NO,45,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),62.7,2791.5,YES,YES,NO,DSL,YES,NO,YES,NO,NO,YES,752.4,ESTABLISHED,MEDIUM,STANDARD
0023-HGHWL,MALE,1,NO,NO,1,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,25.1,25.1,YES,NO,NO PHONE SERVICE,DSL,NO,NO,NO,NO,NO,NO,301.2,NEW CUSTOMER,LOW,STANDARD
0023-UYUPN,FEMALE,1,YES,NO,50,ONE YEAR,NO,ELECTRONIC CHECK,25.2,1306.3,NO,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,302.4,LOYAL,LOW,STANDARD
0023-XUOPT,FEMALE,0,YES,NO,13,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,94.1,1215.6,YES,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,NO,1129.2,DEVELOPING,HIGH,STANDARD
0027-KWYKW,FEMALE,0,YES,YES,23,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,83.75,1849.95,NO,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,NO,1005,DEVELOPING,HIGH,STANDARD
0030-FNXPP,FEMALE,0,NO,NO,3,MONTH-TO-MONTH,NO,MAILED CHECK,19.85,57.2,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,238.2,NEW CUSTOMER,LOW,STANDARD
